source,target,song_id,song_title,year,album
12437,14019,92120,4 Coins de la France,,Single
12437,26148,92120,4 Coins de la France,,Single
12437,14366,92120,4 Coins de la France,,Single
2169,14798,2390359,1-2,2014,Single
2169,16080,151340,7h à Toulouse,2013,Single
2169,632640,2393351,À nous de jouer,,Single
2169,57071,2393355,Comme avant,,Single
16080,2222,62421,Cypher d’Sifoor,,Single
2169,503038,2363934,Enfant du Monde,2011,Single
14798,14857,5527079,Gros cailloux (Remix),2009,Single
8433,27457,3320272,I Loved You,2008,Single
33304,2190551,5455821,La planète des kickeurs,2016,Single
33304,665231,5455821,La planète des kickeurs,2016,Single
33304,377603,5455821,La planète des kickeurs,2016,Single
33304,28142,5455821,La planète des kickeurs,2016,Single
33304,640429,5455821,La planète des kickeurs,2016,Single
2169,16613,63840,Ouvre les yeux,,Single
2169,1684,70068,Puzzle,,Single
2169,2168,5138,The Good Die Young (Remix),,Single
2169,2167,5138,The Good Die Young (Remix),,Single
1894477,14724,9850990,10h du mat’,2024,Single
1894477,324313,9850990,10h du mat’,2024,Single
1894477,141989,11281801,À la bonne franquette,,Single
498406,1265,8915615,A TRAUMA Freestyle,2023,Single
498406,580259,8915615,A TRAUMA Freestyle,2023,Single
498406,8659,8915615,A TRAUMA Freestyle,2023,Single
498406,2078841,8915615,A TRAUMA Freestyle,2023,Single
1894477,21841,9807543,Colorier des HLM,2023,Single
1894477,1852283,7823662,Demain ça ira,2022,Single
1894477,2757016,9784856,Étoiles et satellites,2024,Single
1894477,644957,8870492,Finir sourd,2023,Single
2931359,1514822,7332695,Freestyle 386 LAB,2021,Single
2931359,2641941,7332695,Freestyle 386 LAB,2021,Single
2931359,16833,7332695,Freestyle 386 LAB,2021,Single
2931359,2022118,7332695,Freestyle 386 LAB,2021,Single
2931359,324273,7332695,Freestyle 386 LAB,2021,Single
2931359,342443,7332695,Freestyle 386 LAB,2021,Single
2931359,2071488,7332695,Freestyle 386 LAB,2021,Single
65817,496984,9695810,Grünt #59,2023,Single
65817,1835541,11372975,Grünt #69,2025,Single
65817,1200843,11372975,Grünt #69,2025,Single
65817,3972316,11372975,Grünt #69,2025,Single
65817,18035,11372975,Grünt #69,2025,Single
65817,659508,11372975,Grünt #69,2025,Single
1894477,4321187,11490433,Le chant des oiseaux,2025,Single
1894477,1622324,7163622,Les préférés de la cantinière,2021,Single
1894477,995091,9850998,Par la fenêtre,2024,Single
1894477,147487,8480956,Pire ou mieux,2022,Single
1114384,1256602,7593991,Red Bull Spinner #8,2022,Single
1894477,1276822,11490424,Rendez-vous,2025,Single
639298,1947,11353961,Sac plastique,2025,Single
639298,1246570,11353961,Sac plastique,2025,Single
639298,3169273,11353961,Sac plastique,2025,Single
1894477,1584811,8108462,Sueur & Sang,2022,Single
1894477,93818,8870506,Trucs sentimentaux,2023,Single
1894477,244692,8733437,Victor Osimhen,2023,Single
1843409,153477,9258787,22h22,2023,Single
17103,211545,4916796,Animal nocturne,2019,Single
1883,1431,396031,Block to the future,2014,Single
153477,308564,7741775,Brûle,2022,Single
14806,354674,11104325,CENT FOIS,2024,Single
1228031,25569,7989606,Chicha ski nautique,2022,Single
13508,556079,5240572,CIGARETTES,2020,Single
997713,16163,7342334,De la sauvagerie dans l’art,2021,Single
17103,1325278,4916801,Dernier voyage,2019,Single
1265,147321,5962776,Grand dla tess,2020,Single
17103,75160,4916798,iRobot,2019,Single
997713,17103,7345596,Je suis,2021,Single
234413,1444864,7347315,Journée,2021,Single
324313,27122,11567174,La Vie En Rose,2021,Single
1011334,933047,5580926,Low Life,2020,Single
996826,1212452,5937724,Malfaiteurs,2020,Single
1247832,638160,4445244,Matin,2019,Single
324313,1107387,11566917,Never Coming Back,2021,Single
1098200,2252,6801061,PARADIS BLEU,2021,Single
1228031,5464,7968961,Sacrifices,2022,Single
1228031,14877,7968961,Sacrifices,2022,Single
17103,790419,4916799,Sakura,2019,Single
1005404,1011334,6447508,SIGNES,2021,Single
308564,515323,6911342,STUNTMEN,2021,Single
