id,name
26149,GAK (D’en Bas Fondation)
26150,Staff
1132952,Tamtam
170851,Rilès
555369,Kunta K
22280,Koro
6465,Haze (ENG)
2931356,Le G dit Gringo
1505,Nelly Furtado
2931355,Axxo
1205721,Sika Deva
19570,Peter Morgan
2875888,Annabelle Marlot
482277,Daoudi
987381,TiiwTiiw
1012687,Demo (FRA)
226954,Keros-n
3796774,Ferdi
1014,Bishop Lamont
22281,Fey Shabazz
1179754,HolyBrune
349,Cory Gunz
1989573,MEYY
3022215,Lora Yeniche
2476685,Yun Poq
133188,A-F-R-O
1153021,Scott Chegg
217822,Zkr
1030164,RonL
2488553,Andy Kayes
3015156,Lina Pamart
179450,Naâman
516554,Razzia
22666,Marechal
1475752,Doša (Producer)
27314,Stokos
51862,Bibo
27315,Don Kan
1794693,Maiza
34731,RJmrLA
4450847,Gaye Sissoko
10832,RR
335,Ron Browz
2501967,Alfreddo
33190,W
7557,Lil’ D
1664087,Daks
55419,Senskara
2501965,Verso 75
55420,Boush.B
165814,KMK
649715,Lwind
45731,Stereo Type (Japanese Trio)
525716,Kata
169775,Radam
185828,Flenn
458040,Bushy
202564,Double M (Artist)
6426,Barrington Levy
655625,Motta
1073333,ElGrandeToto
1193983,Hamid Bouchnak
12791,Charlotte Gainsbourg
147799,Dardar
1754043,Dreisnear
1997051,Lil Tees
554,Tyga
171971,Taïeb
329325,Maestro Omayela
4832,Marvelous
1534440,MC Emmm
631222,Brahms
225835,Laly Rai
123084,Karó (Artist)
21869,Mister V
2341965,Laila Chakir
187860,Potter Payper
26460,OZ
1043112,Chane’l (ESP)
4179813,HEMS AUTHENTIC
31625,Wanis
302530,Yougos
36806,NOR
12388,Chilly Gonzales
620097,EAZ
1463596,Leila Boumedjane
3375400,Heddi
398763,Luwar
2994371,Jazefa
139827,Linkhan
1282676,Youri
580257,Maleek Jays
331656,Lasco
99323,Utopie
398762,Alvina
1418992,Perico Milly
51857,Vince
3401309,Shao (FRA)
3401308,BBL (FRA)
615002,Blacka
3401304,Kel’s (FRA)
184151,Loretta
3401305,Skeaz
59483,Bruce Lee
228293,H2S
1349242,Ice Crimi
92149,Faya
8260,Onyx
2492724,Rapper Cham
3562907,Erremsi
13945,Sango
228291,MC Trash
228290,Mecag
62796,Tekilla
1023492,Spectacular
1014410,Koma
1114057,Kiro
139305,Hakan (FRA)
214694,ISK
2813892,Kai du M
13829,Greg
3714554,Saintdoss
20074,DF Sounds
645973,Lenzo
309196,Gianni (French)
1532910,Bronks
2130905,Decimo
3111779,Moussa Bonito
404999,Koffi Olomidé
663617,SHELBY (FRA)
180747,Djo
4012730,Gerry Madani
188070,Leh
315949,Massoud
2512013,FR3SHAVELLI
1791888,ROCXNOIR
1485773,Tookie
3012186,Skoffy
1432459,Stav
1467721,Malkeazy
1208306,Elias Wallace
2243180,Thaïs Lona
2633,Big Twins
35639,Diesel
1327333,Hamza Boy
386848,Chellè
551499,Bayssou
3257266,Arabian Shima
7189,H20
371036,Kaysha
392954,Malaa
1441061,Dj Nassi
502269,Shakim
51294,Salim
1034363,Riffi
19133,Mohombi
199939,Pheno Cryx
1042606,YONII
196007,Say
248345,Mr Crazy
196008,Yassi Yass
3663184,IFY (FRA)
40355,P-Square
1061501,Sanfara
3279147,Latouba
2512526,LMK (FRA)
1267202,Imad Benomar
641288,7ARI
8449,Alfonzo Hunter
1764514,Kulu Ganja
9028,Napoleon Da Legend
1281,Papoose
4312436,Jehkhyl
1613500,Victor Solf
204933,Sekk
204931,Guez
1063750,Loé
48888,MaKZ
1454711,James The Prophet
1575849,Eric
182870,Sabrina Bellaouel
102956,Gambino
1740573,AK (FRA)
61667,C.O.R
170727,Nia
3002024,Gloria Velez
11989,N.I.C.
4398397,MORA SAD
44278,Christophe Caysac
83336,Edson Nessee
26552,HeadQuarters
1215,Max B
60324,Patrick Watson
13051,Said
1152735,AVR
1645705,Versus (french)
1133890,Bader
645454,Dolly Golden
36389,Dexter
381087,Manu Dibango
192385,Ébano
72045,Jack Ü
373232,Niamor
1112572,Wady
1112571,JPS (FRA)
1112570,Chris des Ténèbres
149,Nate Dogg
57821,GG (USA)
1112569,Irza
1112568,Insha
72601,De La Ghetto
560000,Criss
1112567,Kr-o-matik (Rapper)
4988,Damani
65884,La ContreBande
336521,Ghost Dog
